1	sp.P03009.TRA2_ECOLX,group_592
2	sp.P0C1G2.TNR7_ECOLX,sp.P51565.TNP9_ECOLX...sp.P06695.TNP5_PSEAI,group_71
3	group_219,group_644,sp.Q47688.YKFC_ECOLI
4	group_77,group_252
5	group_113,group_97,sp.P74007.SPOT_SYNY3,group_607
6	group_263,group_85
7	group_682,group_136,group_147,group_98,group_535,group_522,group_507,group_57,group_39,group_224,group_202,group_678,group_34,group_262
8	group_41,sp.Q9ZJ24.YF88_HELPJ...sp.P75617.YAAW_ECOLI
9	group_220,group_266,group_190,group_173
10	group_104,group_620,group_673,group_683,group_669,group_231,group_609,group_90,group_51,group_275,group_21,group_234,group_146,group_253,group_227,group_501,group_37,group_139,group_585,group_83,group_49,group_557,sp.A1JLA4.DNLJ_YERE8...sp.A4SYV5.DNLJ_POLAQ...sp.Q6D165.DNLJ_PECAS,group_197,group_211,group_599,group_509,group_484,group_63,group_56,group_495,group_79,group_88,group_36,group_566
11	group_600,group_579,sp.P10486.T1R1_ECOLX,sp.P10484.T1M1_ECOLX...sp.Q47163.T1MP_ECOLX,group_179,group_60,group_18
12	group_59,group_107,group_124,group_510,group_207,group_638
13	group_101,group_25,group_30
14	group_108,group_254
15	group_267,group_42,group_228,group_265,group_264
16	group_167,group_151
17	group_508,group_591
18	sp.Q00042.TNPX_ECOLI,group_195,group_67
19	group_249,group_92,group_188,sp.P14307.YSMA_SERMA
20	group_622,group_261
21	sp.Q7V395.MNME_PROMP...sp.B0KBA1.ENGB_THEP3,group_536
