Source	Target	p	successes	observations	rate	expected	total source	total target	fraction source	fraction target
group_90	sp-P10486-T1R1_ECOLX	4.65331e-50	217	226	0.517621	117	131	88	0.579646	0.389381
group_145	group_195	2.6579e-07	178	226	0.630668	143	184	66	0.814159	0.292035
group_146	group_151	9.72514e-13	168	226	0.512335	116	104	148	0.460177	0.654867
group_146	group_167	1.03244e-13	170	226	0.51163	116	104	146	0.460177	0.646018
group_146	group_179	3.26871e-15	169	226	0.491542	111	104	89	0.460177	0.393805
group_146	group_18	1.6667e-30	196	226	0.505991	114	104	130	0.460177	0.575221
group_146	group_579	1.88337e-10	159	226	0.495771	112	104	101	0.460177	0.446903
group_146	group_591	2.69681e-09	152	226	0.477798	108	104	50	0.460177	0.221239
group_146	group_60	3.25448e-18	174	226	0.487665	110	104	78	0.460177	0.345133
group_146	group_600	2.11751e-07	147	226	0.48097	109	104	59	0.460177	0.261062
group_146	group_89	7.96813e-09	157	226	0.507048	115	104	133	0.460177	0.588496
group_146	sp-P10484-T1M1_ECOLX~~~sp-Q47163-T1MP_ECOLX	1.08008e-14	168	226	0.491894	111	104	90	0.460177	0.39823
group_146	sp-P10486-T1R1_ECOLX	7.99323e-14	166	226	0.49119	111	104	88	0.460177	0.389381
group_151	group_21	4.80364e-55	224	226	0.550709	124	148	76	0.654867	0.336283
group_151	group_275	2.91757e-15	170	226	0.495888	112	148	116	0.654867	0.513274
group_151	group_37	3.95875e-07	160	226	0.545227	123	148	80	0.654867	0.353982
group_151	group_501	1.39226e-07	162	226	0.547968	124	148	78	0.654867	0.345133
group_151	group_530	6.1018e-07	164	226	0.567155	128	148	64	0.654867	0.283186
group_151	group_585	1.12058e-09	171	226	0.563043	127	148	67	0.654867	0.29646
group_151	group_620	5.6434e-09	179	226	0.612382	138	148	31	0.654867	0.137168
group_151	group_673	4.76559e-07	153	226	0.513705	116	148	103	0.654867	0.455752
group_151	group_79	9.05294e-08	176	226	0.613752	139	148	30	0.654867	0.132743
group_151	group_88	9.05294e-08	176	226	0.613752	139	148	30	0.654867	0.132743
group_151	sp-A1JLA4-DNLJ_YERE8~~~sp-A4SYV5-DNLJ_POLAQ~~~sp-Q6D165-DNLJ_PECAS	1.15584e-09	174	226	0.578119	131	148	56	0.654867	0.247788
group_167	group_21	4.28001e-52	222	226	0.547811	124	146	76	0.646018	0.336283
group_167	group_275	2.82557e-14	168	226	0.496123	112	146	116	0.646018	0.513274
group_167	group_37	1.0996e-06	158	226	0.542642	123	146	80	0.646018	0.353982
group_167	group_501	3.95875e-07	160	226	0.545227	123	146	78	0.646018	0.345133
group_167	group_585	3.39313e-09	169	226	0.559441	126	146	67	0.646018	0.29646
group_167	group_620	5.78878e-08	175	226	0.60596	137	146	31	0.646018	0.137168
group_167	group_79	1.58431e-07	174	226	0.607252	137	146	30	0.646018	0.132743
group_167	group_88	1.58431e-07	174	226	0.607252	137	146	30	0.646018	0.132743
group_167	sp-A1JLA4-DNLJ_YERE8~~~sp-A4SYV5-DNLJ_POLAQ~~~sp-Q6D165-DNLJ_PECAS	3.07676e-09	172	226	0.573655	130	146	56	0.646018	0.247788
group_178	group_21	1.34885e-11	167	226	0.520283	118	127	76	0.561947	0.336283
group_178	group_585	1.60081e-08	160	226	0.525217	119	127	67	0.561947	0.29646
group_178	group_673	6.34154e-08	154	226	0.505482	114	127	103	0.561947	0.455752
group_179	group_231	9.88265e-11	150	226	0.451132	102	89	61	0.393805	0.269912
group_179	group_253	5.46528e-07	136	226	0.437975	99	89	47	0.393805	0.207965
group_179	group_275	4.27363e-17	175	226	0.502819	114	89	116	0.393805	0.513274
group_179	group_31	5.67073e-11	157	226	0.480265	109	89	92	0.393805	0.40708
group_179	group_402	1.5506e-07	141	226	0.452071	102	89	62	0.393805	0.274336
