ID	Result
group_269	0.340387950067624
group_501	-0.192082087377486
group_246	-0.0524342013710009
group_60	-0.146771207937089
group_43	0.349613484226605
group_21	-0.143387526022332
group_32	-0.350381463862616
group_411	-0.0882444497713976
group_265	-0.137659395416646
group_107	-0.0498059181970445
group_264	-0.159567159866582
group_86	0.113548130050689
group_228	-0.146183584362592
group_585	-0.23648418716708
group_267	-0.117589888040686
group_195	-0.177229058881948
group_42	-0.11159097497419
group_237	-0.158734760710917
group_145	-0.0934502505254763
group_530	0.0266153636822916
group_118	-0.159728316804887
group_402	0.0421720627967496
group_129	-0.0124404559308277
group_231	-0.0951359942585667
sp.P68688.GLRX1_ECOLI...sp.P45242.GLRX_HAEIN...sp.P68689.GLRX1_SHIFL	-0.199774156713891
group_508	-0.139914920869273
group_621	-0.175185001622768
group_600	-0.0313167693877001
group_622	-0.399518167491623
group_147	0.0872291848036597
group_261	-0.390462389299617
group_136	0.0884281937375329
group_258	0.0203529785547695
group_262	-0.427805599438946
group_140	0.0369968840333276
group_609	-0.105819192616623
group_598	-0.213008002395903
group_557	-0.258998066221482
group_151	-0.12393668279136
sp.A1JLA4.DNLJ_YERE8...sp.A4SYV5.DNLJ_POLAQ...sp.Q6D165.DNLJ_PECAS	-0.268419559473164
group_167	-0.107382206458216
sp.P58726.CSPJ_SALTI	-0.133620242925276
group_521	-0.0916541709480223
group_535	0.0151468053553221
group_84	-0.117865397148922
group_683	-0.0599756531067973
group_89	-0.101101689274063
group_202	-0.336495484068463
group_108	-0.0986631594702664
group_682	0.118446238164771
group_90	-0.107257295555895
group_18	-0.418164223601053
group_591	-0.139611614209083
group_254	-0.122066491231446
group_224	-0.272747958596111
group_178	-0.00126598784840194
group_39	-0.272406673648415
group_524	-0.0146600182116681
group_253	-0.183608892838433
group_484	-0.353119328613374
group_47	-0.0568118218026775
group_104	-0.0265378983784442
group_507	-0.109633351850444
group_159	-0.0798068425215673
group_51	-0.123778821062922
group_83	-0.240990585116529
group_275	-0.134545156069637
group_67	-0.213291874509098
group_146	-0.172207815944599
sp.Q00042.TNPX_ECOLI	-0.178296119483227
group_73	0.0139233557808686
group_34	-0.336682226505069
group_673	-0.0471110220031087
group_211	-0.314500050685791
group_54	0.107009407381869
group_620	-0.0344515649750933
group_579	-0.0687818726418813
group_98	0.0598227471862071
group_31	-0.177804346805542
group_88	-0.438690676860809
sp.P10484.T1M1_ECOLX...sp.Q47163.T1MP_ECOLX	-0.123176235354858
group_79	-0.449920250722032
group_179	-0.138065716715302
group_252	0.278159204933361
sp.P10486.T1R1_ECOLX	-0.0704447532562271
group_678	-0.315073752715838
group_65	-0.339554303382662
group_138	-0.135503533268462
group_139	-0.222508349559007
group_37	-0.215882282748368
