Source	Target	weight
group_42	group_67	2.89266e-28
group_42	sp-Q00042-TNPX_ECOLI	1.49468e-26
group_47	group_609	4.30833e-07
group_484	group_621	1.10749e-09
group_501	group_84	3.08272e-19
group_501	group_579	1.24279e-06
group_508	group_521	6.00611e-07
group_51	sp-P10484-T1M1_ECOLX~~~sp-Q47163-T1MP_ECOLX	1.60418e-44
group_51	sp-P10486-T1R1_ECOLX	3.16094e-42
group_51	group_60	2.00809e-12
group_51	group_600	2.67667e-18
group_521	group_60	9.98681e-08
group_521	group_591	1.90586e-07
group_524	group_90	6.04647e-09
group_524	group_73	4.58495e-07
group_524	group_673	5.58243e-08
group_524	group_54	1.18491e-08
group_54	group_86	7.80599e-12
group_557	group_621	6.54315e-09
group_585	group_84	4.69973e-25
group_60	group_90	7.47318e-16
group_600	group_90	6.1293e-22
group_609	sp-P68688-GLRX1_ECOLI~~~sp-P45242-GLRX_HAEIN~~~sp-P68689-GLRX1_SHIFL	7.3125e-10
group_621	sp-A1JLA4-DNLJ_YERE8~~~sp-A4SYV5-DNLJ_POLAQ~~~sp-Q6D165-DNLJ_PECAS	9.41258e-07
group_621	group_83	7.41273e-07
group_622	group_678	3.73857e-07
group_673	group_84	1.00623e-10
group_683	sp-P68688-GLRX1_ECOLI~~~sp-P45242-GLRX_HAEIN~~~sp-P68689-GLRX1_SHIFL	1.82345e-09
group_73	sp-P10486-T1R1_ECOLX	5.0882e-07
group_84	sp-A1JLA4-DNLJ_YERE8~~~sp-A4SYV5-DNLJ_POLAQ~~~sp-Q6D165-DNLJ_PECAS	9.46844e-08
group_89	group_90	9.00678e-07
group_90	sp-P10484-T1M1_ECOLX~~~sp-Q47163-T1MP_ECOLX	4.49044e-53
group_90	sp-P10486-T1R1_ECOLX	4.65331e-50
