ID	Result
sp.O68770.DPO3A_YERPE	0.0132057567803514
group_233	-0.434272066854643
group_134	-0.177656594932211
group_37	-0.0898861598068925
group_58	-0.397644155920113
group_15	-0.405882779857144
group_38	-0.144682890675018
group_1	-0.398986787808495
group_14	-0.230956364554444
group_137	-0.0483360340804489
group_598	-0.195292540219682
group_65	-0.251915555981167
sp.P0C1L0.T431_STAA8	-0.332218017723645
group_253	-0.0600574174289341
group_284	-0.347600558968495
group_112	-0.224502715744485
sp.P78218.DYR15_ECOLX...sp.P11731.DYR5_ECOLX	-0.0977529814830423
group_305	-0.187174237490092
group_109	-0.194297165239255
group_294	-0.228010859289183
group_264	-0.472188492700874
group_591	-0.182688975190694
sp.Q56897.TRA8_YEREN	0.425907070876159
group_522	-0.17544947558861
group_4	-0.474590483120929
group_296	-0.0631592784243012
group_237	-0.388590971343583
sp.P03014.PINE_ECOLI	-0.181746442781629
group_225	-0.394256059289128
group_259	-0.194313425816006
group_204	-0.365916273864742
group_258	-0.19099032134921
group_277	-0.469470971241071
group_242	-0.150585301919539
group_498	-0.329789251224021
group_232	-0.184346605931558
group_194	-0.236316125636352
group_107	-0.239200246458987
group_87	-0.245221860174454
group_125	-0.226642517004578
group_216	-0.34980800239415
group_224	-0.267953192000355
group_100	-0.231565124159454
group_115	-0.0158414791890764
group_157	-0.109935559716296
group_300	-0.138334052600991
group_608	-0.268241982649142
group_490	-0.0892404902328883
group_282	-0.351789362966343
group_307	-0.0416020897941767
group_590	-0.165064274108732
sp.P62591.INT2_PSEAI	-0.0949451162447789
group_500	-0.258463687032313
sp.P15026.ISTB_PSEAI	-0.268358987174053
group_121	-0.27363837032131
sp.Q45618.TRA6_GEOSE	-0.257093367710602
group_269	-0.260291218553055
group_136	0.133103912685296
